TITLE,AUTHOR,DESCRIPTION,IMAGE_URL
Amazon cuts paid COVID-19 leave for workers in half,Bryan Menegus,"Amazon, the second-largest employer in the US, announced today that it would be slashing its paid leave policies for workers forced to quarantine in half. The policy, instituted in March of 2020, previously provided for up to 14 days of paid leave; the new po…",https://s.yimg.com/os/creatr-uploaded-images/2022-01/8c0d1780-6ffd-11ec-926d-c138fd36e4c0
Pregnant People Are Still Not Getting Vaccinated Against Covid,
Grace Browne,
Misinformation and muddled public health messaging have failed expectant parents. Now Omicron's surge is putting both carriers and babies at risk.,
"https://media.wired.com/photos/61e0a474844ec857b7138274/191:100/w_1280,c_limit/Science_pregnant_vaccine_GettyImages-1211125659.jpg"
2022 Will Be a Big Year for Space Exploration,Sanjana Varghese,"Missions to Mars, Jupiter, and—yes—Texas are all part of the next wave of space research previously delayed by Covid-19.","https://media.wired.com/photos/61b3d32c4c2837e2633b08db/191:100/w_1280,c_limit/WW2022-WIRED-45.jpg"
This Covid Surge Feels Different,"Annie Correal, Daniel Guillemette, Asthaa Chaturvedi, Mooj Zadie, Marc Georges, Lisa Chow, Marion Lozano and Dan Powell","Despite its reputation for mild illness, the Omicron variant is fueling a staggering rise in hospitalizations. Here’s what doctors are seeing.",https://static01.nyt.com/images/2022/01/11/podcasts/11daily-1/merlin_199919835_9284a2c5-db5c-43bf-b283-49c6830f9e9d-facebookJumbo.jpg
This Is the Earliest We Can Expect a COVID Vaccine for Little Kids,Beth Skwarecki,"The wait for COVID-19 vaccines for kids has been excruciating. The 5-to-11 age group finally got theirs last month, nearly a year after the vaccines were authorized for adults. But the under-5 contingent is still waiting, and unfortunately, they’ll be waiting…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/d88d59cc4c33b513736b3dcdb40b4ce3.jpg"
WATCH: WORLD RINGS IN NEW YEAR UNDER COVID CLOUD,noreply@blogger.com (Unknown),"<table><tr><td></td></tr><tr><td>Happy New Year İn Advance To Everyone
</td></tr>
</table>The world began  on Friday with the inauguration of 2022 after another turbulent and pandemic-ridden year, limited by new restrictions, a rising number of cases, and a…",https://blogger.googleusercontent.com/img/a/AVvXsEht09l0PMBPd6x3C9NOCp4xYV2b093-Hi2dYDXyHuCnR0Nn5QLePNO9EhaAufwrv7k40YgladS48k4AbAVjmHYOnIkVrNrFHRjRFlh3zgDrOdsklIIihcmAlALszmSuI-w5secrpfL9PZJS31bLeHQHhJW5r0CHTH0aBJyyS1AaIEY6m96A7gUkZyTE7A=w1200-h630-p-k-no-nu
SCIENTISTS TO TEST HIGH DEXAMETHASONE DOSES IN COVID-19 PATIENTS,noreply@blogger.com (Unknown),"İmage Credit: AFP PhotoBritish scientists will investigate whether higher doses of a cheap and widely used steroid called dexamethasone might work better in severe COVID-19 patients compared to  standard lower doses, they said Thursday. , showed that it was a…",https://blogger.googleusercontent.com/img/a/AVvXsEjEV-b0VLoWJN04uD-fUL7VdtaxmGntdSKcSSq4ndKT9Yd2bqIXg4_QSrrGC_pSZBR4VkN_y5Tf8xNgpj_UR2P52b-xFJYqJ9IzyoKgAq-u2Kx6ojfXaXTyVlhzOCeVjfqVwppwCbqGyQ6aMRRCeBtSHuSie4FgjLhRtZD-toRqiyYYznWV25CEhU4tkQ=w1200-h630-p-k-no-nu
